authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Mauro Servienti,2012-11-21T10:47:51.013Z,43209,1976,Radical Framework for M-V-VM and UI Composition,Radical.Windows.Presentation.Conventions.Settings,False,1899-12-31T16:00:00-08:00,False,False,WinRT Charm Settings by conventions,"Radical,Radical.Windows",-1,False,0.0.1
Hibernating Rhinos,2012-11-22T16:30:51.527Z,43209,1975,RavenDB Client MvcIntegration let you include a visual profiler in your ASP.NET MVC application which will show you all the opened sessions and the time took to complete each database request. This can help you when developing with RavenDB.,RavenDB.Client.MvcIntegration,True,1900-01-01T00:00:00+00:00,False,False,A visual profiler for RavenDB that you can use in your ASP.NET MVC application.,"nosql,ravendb,raven,document,database,client,mvc",243184,True,2.0.2158-Unstable
Mauro Servienti,2012-11-21T06:07:42.853Z,430,1976,Radical Framework,Radical.Windows,False,2017-02-14T07:33:31.843-08:00,True,False,,"Radical,Radical.Windows",25826,False,1.3.8.7
O2 Platform,2012-11-21T13:35:40.197Z,1359,1976,"FluentSharp is an API that dramatically simplifies the use of .NET Framework APIs. It makes extensive use of .NET ExtensionMethods and it reduces the amount of code required (while making it more read

This is the FluentSharp REPL which provides a C# REPL enviroment (REPL is Read Eval Print Loop) which allows for real-time execution of complex C# code (and GUI manipulation)",FluentSharp.REPL,False,2014-07-31T04:47:41.157-07:00,True,False,FluentSharp is an API that dramatically simplifies the use of .NET Framework APIs. It makes extensive use of .NET ExtensionMethods and it reduces the amount of code required (while making it more read,"Fluent,OWASP,O2Platform,Security",17942,False,4.5.2
Wade Reynolds,2012-11-21T16:24:20.013Z,1976,1976,The Drill.DrillBits.Autofac package contains the Drill.DrillBits.Autofac assembly which is used to integrate Autofac into Drill as a DrillBit component.,Drill.DrillBits.Autofac,False,2012-11-21T08:24:20.34-08:00,True,False,"Drill is the Dependency Resolution and Instance Location Layer, an abstraction layer to DI containers, service locators and other methods of obtaining object instances.","drill,drillbit,drillchuck,dependency,injection,di,ioc,service,locator,resolver,dependencyresolver,idependencyresolver,autofac",852,False,1.0.130
Venkata Koppaka,2012-11-21T18:44:59.057Z,1816,1976,Package to mass load products to the Sitefinity Ecommerce module from a CSV file,SitefinityEcommerceProductUpload,False,2013-04-30T13:47:42.08-07:00,True,False,,,4207,False,1.6.0
Demis Bellot,2012-11-22T08:11:46.573Z,1833,1975,"StackExpress Razor Documentation: http://razor.servicestack.net

      - Turns ServiceStack into a Complete Web + REST Services Stack. Replaces need for ASP.NET MVC.
      - Runs In ASP.NET or Self-host, first-class cross-platform support on .NET / Mono runtimes.
      - Add HTML views to existing services.
      - Change Views and Layout templates at runtime.
      - No Ceremony development options - Pages without controllers, with typed and dynamic View Models.
      - Include Partial Markdown views in Razor pages.
      - Cascading Layout templates.
      - Pretty urls by default (no custom Routes needed).
      - Keep all views and assets together.
      - Smart View Pages.",StackExpress.Razor,True,2013-04-13T08:22:10.39-07:00,True,False,Provides ServiceStack's HTML Story including integrated support for MVC Razor's ViewEngine,"ServiceStack,Razor,ViewEngine,View,Templates,Controllers,Mono,ASP.NET,Self-Host",65179,False,3.9.379-unstable
Hibernating Rhinos,2012-11-21T11:46:16.503Z,43209,1976,"The Authorization Bundle extend RavenDB and add document level permissions. The Auth Bundle allows to define permissions for a specific user, a group or using arbitrary tagging. The system is design to be high performance, scalable and flexible.",RavenDB.Bundles.Authorization,True,1900-01-01T00:00:00+00:00,False,False,,"nosql,ravendb,raven,document,database,bundles,authorization",201812,True,1.2.2151-Unstable
NServiceBus Ltd,2012-11-22T02:43:52.083Z,63,1975,"The testing for the nservicebus, The most popular open-source service bus for .net",NServiceBus.Testing,True,2018-02-16T08:24:31.56+00:00,True,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",326207,False,3.4.0-unstable29
RazorTemplates Project,2012-11-21T13:58:30.617Z,717,1976,Open source templating engine based on Microsoft's Razor parsing engine. Thread safe. Allows run Razor templates outside ASP.Net MVC Projects.,RazorTemplates,False,2016-05-03T10:16:41.583+00:00,True,False,,"razor,razorengine,templating,razortemplates",28401,False,1.0.3
