authors,description,id,is_prerelease,listed,summary,tags,version
"Dave Van den Eynde,Wouter Demuynck",Adam.JSGenerator helps producing snippets of JavaScript code from managed code.,Adam.JSGenerator,False,True,Adam.JSGenerator helps producing snippets of JavaScript code from managed code.,,1.1.0
David Bryon,Request/Response Service Layer for .NET,Agatha-rrsl,False,True,Request/Response Service Layer for .NET,,1.2.0
Michal Altair Valášek,Library for sending templated and localized e-mail messages from web application.,Altairis.MailToolkit,False,True,,,1.0.0
Michal Altair Valášek,"Simple security package for ASP.NET, including the basic authentication HTTP module and several membership and role providers.",Altairis.Web.Security,False,True,,,2.0.0
Michal Altair Valášek,"Set of simple and clean, yet very useful components for developing ASP.NET Web Form applications. Includes embedded popular Silk icon set.",Altairis.Web.UI,False,True,,,2.0.0
Microsoft,"AntiXSS is an encoding library which uses a safe list approach to encoding. It provides Html, XML, Url, Form, LDAP, CSS, JScript and VBScript encoding methods to allow 
you to avoid Cross Site Scripting attacks. This library is part of the Microsoft SDL tools.",AntiXSS,False,True,"AntiXSS is an encoding library which uses a safe list approach to encoding. It provides Html, XML, Url, Form, LDAP, CSS, JScript and VBScript encoding methods to allow 
you to avoid Cross Site Scripting attacks. This library is part of the Microsoft SDL tools.",,4.0.1
Terence Parr,"ANother Tool for Language Recognition, is a language tool that provides a framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages.",Antlr,False,True,"ANother Tool for Language Recognition, is a language tool that provides a framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages.",,3.1.1
Terence Parr,"ANother Tool for Language Recognition, is a language tool that provides a framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages.",Antlr,False,True,"ANother Tool for Language Recognition, is a language tool that provides a framework for constructing recognizers, interpreters, compilers, and translators from grammatical descriptions containing actions in a variety of target languages.",,3.1.3.42154
Brian William Kuhn,"A powerful and extensible .NET web content syndication framework for RSS, Atom, OPML, APML, BlogML, RSD and more. The Argotic Syndication Framework is a Microsoft .NET class library framework that enables developers to easily consume and/or generate syndicated content from within their own applications. The framework makes the reading and writing syndicated content in common formats such as RSS, Atom, OPML, APML, BlogML, and RSD very easy while still remaining extensible enough to support common/custom extensions to the syndication publishing formats. The framework includes out-of-the-box implementations of the most commonly used syndication extensions, network clients for sending and receiving peer-to-peer notification protocol messages; as well as HTTP handlers, modules, services and controls that provide rich syndication functionality to ASP.NET developers.",Argotic.Common,False,True,Argotic Syndication Framework,,2008.0.2
Brian William Kuhn,"A powerful and extensible .NET web content syndication framework for RSS, Atom, OPML, APML, BlogML, RSD and more. The Argotic Syndication Framework is a Microsoft .NET class library framework that enables developers to easily consume and/or generate syndicated content from within their own applications. The framework makes the reading and writing syndicated content in common formats such as RSS, Atom, OPML, APML, BlogML, and RSD very easy while still remaining extensible enough to support common/custom extensions to the syndication publishing formats. The framework includes out-of-the-box implementations of the most commonly used syndication extensions, network clients for sending and receiving peer-to-peer notification protocol messages; as well as HTTP handlers, modules, services and controls that provide rich syndication functionality to ASP.NET developers.",Argotic.Core,False,True,Argotic Syndication Framework,,2008.0.2
Brian William Kuhn,"A powerful and extensible .NET web content syndication framework for RSS, Atom, OPML, APML, BlogML, RSD and more. The Argotic Syndication Framework is a Microsoft .NET class library framework that enables developers to easily consume and/or generate syndicated content from within their own applications. The framework makes the reading and writing syndicated content in common formats such as RSS, Atom, OPML, APML, BlogML, and RSD very easy while still remaining extensible enough to support common/custom extensions to the syndication publishing formats. The framework includes out-of-the-box implementations of the most commonly used syndication extensions, network clients for sending and receiving peer-to-peer notification protocol messages; as well as HTTP handlers, modules, services and controls that provide rich syndication functionality to ASP.NET developers.",Argotic.Extensions,False,True,Argotic Syndication Framework,,2008.0.2
Brian William Kuhn,"A powerful and extensible .NET web content syndication framework for RSS, Atom, OPML, APML, BlogML, RSD and more. The Argotic Syndication Framework is a Microsoft .NET class library framework that enables developers to easily consume and/or generate syndicated content from within their own applications. The framework makes the reading and writing syndicated content in common formats such as RSS, Atom, OPML, APML, BlogML, and RSD very easy while still remaining extensible enough to support common/custom extensions to the syndication publishing formats. The framework includes out-of-the-box implementations of the most commonly used syndication extensions, network clients for sending and receiving peer-to-peer notification protocol messages; as well as HTTP handlers, modules, services and controls that provide rich syndication functionality to ASP.NET developers.",Argotic.Web,False,True,Argotic Syndication Framework,,2008.0.2
Velio Ivanov,"Implementation of XML ASP.NET Providers (XmlRoleProvider, XmlMembershipProvider and XmlProfileProvider).",Artem.XmlProviders,False,True,"Implementation of XML ASP.NET Providers (XmlRoleProvider, XmlMembershipProvider and XmlProfileProvider).",,2.5.0
Andrey Shchekin,"Extension methods that could have been written by BCL authors. No magic, just things missing from BCL.",AshMind.Extensions,False,True,Extension methods that could have been written by BCL authors.,,1.0.3
Tim McCall,AttributeRouting is a library that allows you to specify routes using attributes on your MVC controllers and actions.,AttributeRouting,False,True,,,0.5.3967
Nicholas Blumhardt,An IoC container for Microsoft .NET. It manages the dependencies between classes so that applications stay easy to change as they grow in size and complexity.,Autofac,False,True,An IoC container for Microsoft .NET. It manages the dependencies between classes so that applications stay easy to change as they grow in size and complexity.,,2.2.4.900
"Nicholas Blumhardt,Autofac Contributors",Base assemblies for the Autofac Inversion of Control Container,Autofac,False,True,Autofac is an IoC container for Microsoft .NET. It manages the dependencies between classes so that applications stay easy to change as they grow in size and complexity.,,2.3.2.632
Nicholas Blumhardt,Provides an IControllerFactory implementation for System.Web.Mvc,Autofac.Mvc2,False,True,Provides an IControllerFactory implementation for System.Web.Mvc,,2.2.4.900
Nicholas Blumhardt,An ASP.NET WebForms integration module for Autofac,Autofac.Web,False,True,An ASP.NET WebForms integration module for Autofac,,2.2.4.900
"Nicholas Blumhardt,Autofac Contributors",ASP.NET WebForms integration for Autofac,Autofac.Web,False,True,Provides dependency management and property injection for ASP.NET WebForms Pages.,,2.3.2.632
"Nicholas Blumhardt,Autofac Contributors",ASP.NET MVC2 Integration for Autofac,Autofac.Mvc2,False,True,Provides an IControllerFactory implementation and other integration points for System.Web.Mvc.,,2.3.2.632
