authors,created,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Microsoft,2015-02-09T20:10:49.123Z,このパッケージには、ASP.NET MVC の 日本語 サテライト アセンブリが含まれています。,Microsoft.AspNet.Mvc.ja,False,2018-03-19T18:39:24.803+00:00,True,False,Microsoft.AspNet.Mvc パッケージの 日本語 リソース,"Microsoft,AspNet,Mvc,AspNetMvc",122222,True,5.2.3
Synergex International Corporation,2014-11-14T11:14:37.62Z,Symphony Framework core libraries,SymphonyFramework,False,2018-03-13T14:01:23.31+00:00,True,False,,"Synergy,Symphony,Synergex",6830,False,3.1.0
Microsoft,2015-02-09T20:26:33.423Z,"This package adds support for formatting and content negotiation to System.Net.Http. It includes support for JSON, XML, and form URL encoded data.",Microsoft.AspNet.WebApi.Client,False,2018-03-19T18:44:31.143+00:00,True,False,This package adds support for formatting and content negotiation to System.Net.Http.,"Microsoft,AspNet,WebApi,AspNetWebApi,HttpClient",36570980,True,5.2.3
Microsoft,2015-02-09T21:04:50.347Z,Balíček obsahuje česká satelitní sestavení pro ASP.NET Web API Self Host.,Microsoft.AspNet.WebApi.SelfHost.cs,False,2018-03-19T18:57:25.197+00:00,True,False,České prostředky pro balíček Microsoft.AspNet.WebApi.SelfHost,"Microsoft,AspNet,WebApi,AspNetWebApi,SelfHost",4377,True,5.2.3
Microsoft,2015-02-09T22:42:25.58Z,Balíček obsahuje česká satelitní sestavení pro ASP.NET Web Pages 3.,Microsoft.AspNet.WebPages.cs,False,2018-03-19T19:06:57.89+00:00,True,False,České prostředky pro balíček Microsoft.AspNet.WebPages,"Microsoft,AspNet,WebPages,AspNetWebPages",5568,True,3.2.3
Grid Protection Alliance,2015-02-09T19:47:00.33Z,Library for parsing PQDIF (Power Quality Data Interchange Format) files,GSF.PQDIF,True,2018-04-16T17:34:04.98+00:00,True,False,,"Power,Quality,Data,Exchange,File,Format,Parser,PQDIF,Library",68627,False,2.1.32-beta
"XAct Software Solutions,Inc.",2015-02-09T19:39:41.03Z,An XActLib assembly: a library of services to manage information regarding data sources.,XAct.Data.DataSources,False,2017-02-09T01:56:58.743+00:00,True,False,,"XAct,XActLib",12028,False,0.0.4908
David Asmuth,2015-02-09T22:28:07.233Z,"Easily create procedural noise data on your GPU using OpenCL. 
For further instructions and usage visit http://codedrain.net/cloon

It provides several noise fractals like FractalBrownianMotion, Voronoi, RidgedMultifractal...

It is based on Cloo.
This is a rewrite of Luminoise by  YellPika!",ClooN,False,2015-02-09T14:28:07.233-08:00,True,False,Easily create procedural noise data on your GPU using OpenCL,"cloo,opencl,noise,fractal,cloon,perlin",1173,False,1.1.2
"XAct Software Solutions,Inc.",2015-02-09T21:18:39.567Z,An XActLib Assembly: library for the management of Tags.,XAct.Tags.PCL,False,2017-02-08T17:58:06.557-08:00,True,False,,"XAct,XActLib",28276,False,0.0.4908
Microsoft,2015-02-09T20:15:13.663Z,此程序包包含 ASP.NET MVC 的简体中文附属程序集。,Microsoft.AspNet.Mvc.zh-Hans,False,2018-03-19T18:40:41.477+00:00,True,False,Microsoft.AspNet.Mvc 程序包的简体中文资源,"Microsoft,AspNet,Mvc,AspNetMvc",464355,True,5.2.3
"XAct Software Solutions,Inc.",2015-02-09T20:36:42.917Z,An XActLib assembly: wrapper around ClearScript Javascript engine.,XAct.Languages.JS.ClearScript,False,2017-02-08T17:57:41.307-08:00,True,False,,"XAct,XActLib",9293,False,0.0.4908
Microsoft,2015-02-09T21:06:02.883Z,Este paquete contiene los ensamblados satélites en español para ASP.NET Web API Self Host.,Microsoft.AspNet.WebApi.SelfHost.es,False,2018-03-19T18:57:49.79+00:00,True,False,Recursos en español para el paquete Microsoft.AspNet.WebApi.SelfHost,"Microsoft,AspNet,WebApi,AspNetWebApi,SelfHost",4836,True,5.2.3
